,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
,,,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,,
TERM,COURSE,CRN,INSTRUCTOR NAME,SECTION ENROLLMENT,XLIST GROUP,XLIST ENROLLMENT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
PLEASE NOTE: The order of the questions on this Summary Sheet differs slightly from the order of questions on ESTHER (ESTHER additionally displays Course Evaluations as separate from Instructor Evaluations).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE RE CROSS-LISTED COURSES: If a course is cross-listed, evaluation results have been combined and the combined total will appear under each course listing, and under each instructor's name.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 07,ANTH 529 001,11860,"Elhaik, Tarik",5,,,1.50,1.50,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.50,1.50,1.25,1.25,3.50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0
Fall 07,ANTH 600 002,10878,"Faubion, James D.",8,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.75,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,1
Fall 07,ANTH 601 001,10889,"Faubion, James D.",4,,,1.67,1.67,1.00,1.33,1.33,2.00,2.00,2.00,1.33,1.67,1.33,1.67,2.00,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0
Fall 07,ANTH 602 001,10890,"Georges, Eugenia",4,,,1.33,1.33,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.33,1.00,1.00,4.00,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1
Fall 07,ANTH 800 001,10894,"Faubion, James D.",13,,,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Fall 07,ARAB 101 001,10586,"Awad, Maher M.",19,,,1.59,1.76,1.41,1.47,1.76,1.88,1.71,1.88,1.56,1.59,1.59,1.41,1.82,3.59,17,17,17,17,17,17,17,16,16,17,17,17,17,17,17,16,7
Fall 07,ARAB 201 001,10589,"Awad, Maher M.",12,,,1.82,1.82,1.45,1.91,2.00,2.18,2.36,2.00,1.91,2.09,2.55,1.91,2.09,3.73,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,3
Fall 07,ARAB 301 001,10697,"Awad, Maher M.",6,,,2.00,2.00,1.50,1.33,1.80,2.00,2.17,2.00,1.50,2.50,2.50,1.83,2.50,3.17,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,0
Fall 07,ARCH 101 001,10563,"Grenader, Nonya S.",25,,,1.26,1.35,1.22,1.17,1.04,1.22,1.26,1.13,1.04,1.39,1.23,1.30,1.13,4.26,23,23,23,23,23,23,23,23,23,23,22,23,23,23,23,23,5
Fall 07,ARCH 101 001,10563,"Samuels, Danny M.",25,,,1.17,1.35,1.22,1.30,1.26,1.30,1.30,1.26,1.09,1.39,1.23,1.30,1.13,4.26,23,23,23,23,23,23,23,23,23,23,22,23,23,23,23,23,5
Fall 07,ARCH 201 001,10565,"Satterfield, Blair H.",24,,,1.54,1.58,1.75,1.50,1.42,1.25,1.29,1.42,1.17,1.54,1.30,1.17,1.29,4.67,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,21,5
Fall 07,ARCH 201 001,10565,"Oliver, Douglas E.",24,,,1.58,1.58,2.00,1.58,1.54,1.17,1.38,1.42,1.13,1.54,1.30,1.17,1.29,4.67,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,21,5
Fall 07,ARCH 207 040,10566,"Wittenberg, Gordon G.",30,,,2.67,2.59,2.88,2.54,2.19,2.74,2.59,2.56,2.19,2.79,2.85,2.30,2.85,2.89,27,27,26,26,27,27,27,27,27,28,27,27,26,27,27,23,9
Fall 07,ARCH 220 001,12700,"Hamadeh, Shirine T.",0,J5,6,1.50,1.67,1.33,1.50,1.50,1.83,1.50,1.50,1.33,1.83,1.83,1.67,1.67,2.67,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1
Fall 07,ARCH 301 001,10567,"Robinson, John M.",21,,,1.60,1.75,1.32,1.45,1.35,1.60,1.75,1.85,1.65,1.60,1.45,1.30,1.20,4.85,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,19,7
