,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
,,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,,
TERM,COURSE,INSTRUCTOR LAST NAME,INSTRUCTOR FIRST NAME,SECTION ENROLLMENT,XLIST GROUP,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEASE NOTE RE CROSS-LISTED COURSES:  Evaluation results below are presented based on actual enrollments and are for the courses that the evaluating student registered in. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If a course is cross-listed and part of a X-List group, to view TOTAL evaluations one should review the results for each course and instructor in that X-List group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 06,ANTH 600 002,Faubion,James D,5,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Spring 06,ANTH 646 001,Georges,Eugenia ,1,O2,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Spring 06,ANTH 655 001,Kelty,Christopher Michael,3,S4,1.33,1.00,1.33,1.00,1.00,1.33,1.33,1.33,1.00,1.33,1.33,1.33,1.33,3.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
Spring 06,ARAB 102 001,Awad,Maher M,7,,1.25,1.75,1.25,1.25,2.25,2.50,2.00,1.50,1.00,1.75,2.00,2.25,1.75,3.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
Spring 06,ARAB 102 002,Awad,Maher M,9,,1.25,1.50,1.25,2.00,1.75,2.00,2.00,1.50,1.50,2.00,2.50,1.50,1.75,4.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
Spring 06,ARAB 399 001,Awad,Maher M,5,,1.50,1.75,1.00,1.00,1.50,1.50,1.75,1.50,1.25,1.50,1.50,1.75,1.75,2.75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Spring 06,ARCH 102 001,Grenader,Nonya S,23,,1.17,1.17,1.25,1.33,1.67,1.25,1.17,1.17,1.08,1.31,1.08,1.15,1.15,4.92,12,12,12,12,12,12,12,12,12,13,12,13,13,13,13,13,6
Spring 06,ARCH 102 001,Samuels,Danny Marc,23,,1.25,1.17,1.25,1.17,1.50,1.25,1.17,1.08,1.08,1.31,1.08,1.15,1.15,4.92,12,12,12,12,12,12,12,12,12,13,12,13,13,13,13,13,6
Spring 06,ARCH 132 001,Casbarian,John J,28,,2.10,1.90,2.00,1.90,1.64,2.00,1.55,2.00,1.45,1.73,2.42,2.36,1.60,1.27,10,10,10,10,11,9,11,10,11,15,12,14,15,15,15,14,8
Spring 06,ARCH 202 001,Morrow,Michael Miller,22,,1.50,1.42,2.08,1.08,1.08,1.25,1.33,1.33,1.33,1.62,1.42,1.46,1.46,4.15,12,12,12,12,12,12,12,12,12,13,12,13,13,13,13,13,5
