,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
,,,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,,
TERM,COURSE,CRN,INSTRUCTOR NAME,SECTION ENROLLMENT,XLIST GROUP,XLIST ENROLLMENT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
PLEASE NOTE: The order of the questions on this Summary Sheet differs slightly from the order of questions on ESTHER (ESTHER additionally displays Course Evaluations as separate from Instructor Evaluations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE RE CROSSLISTED COURSES: If a course is cross-listed, evaluation results have been combined and the combined total will appear under each course listing, and under each instructor's name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 12,ANTH 200 001,21107,"Niedzielski, Nancy A.",33,G1,82,2.00,2.07,1.75,2.20,2.01,2.16,2.16,2.12,1.91,2.18,2.31,2.18,2.41,2.94,67,67,67,66,67,67,67,66,66,67,67,66,66,67,66,40,46
Spring 12,ANTH 200 002,23212,"Yoon, So Yeon",3,A6,21,2.00,2.63,1.79,1.74,1.84,2.26,2.79,2.53,2.32,2.21,2.16,2.68,2.63,2.63,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,7
Spring 12,ANTH 205 001,25386,"Fleisher, Jeffrey B.",56,,,1.53,1.57,1.45,1.49,1.45,1.61,1.57,1.53,1.43,1.78,1.78,2.02,1.78,2.65,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,41,26
Spring 12,ANTH 212 001,26503,"Radhakrishnan, Ratheesh",24,L2,42,1.81,2.38,1.70,2.17,2.08,2.14,2.11,2.19,1.70,2.38,2.45,2.44,2.45,2.68,37,37,37,35,36,37,37,37,37,40,40,39,40,40,40,36,19
Spring 12,ANTH 212 001,26503,"Lewis, Steven W.",24,L2,42,1.69,1.82,1.62,1.79,1.74,1.90,1.87,1.74,1.49,2.38,2.45,2.44,2.45,2.68,39,39,39,39,39,39,39,39,39,40,40,39,40,40,40,36,19
Spring 12,ANTH 290 001,26373,"Farfan-Santos, Elizabeth",5,,,2.00,2.40,1.60,2.80,2.00,2.00,2.00,2.60,2.00,2.40,1.60,1.60,2.60,3.40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
Spring 12,ANTH 305 001,26485,"Willis, Christina M.",4,B5,32,1.72,1.93,1.45,1.62,1.69,1.76,1.69,1.79,1.72,1.86,1.66,1.76,1.93,2.86,29,29,29,29,29,29,29,29,29,29,29,29,29,28,29,26,12
