,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
,,,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,,
TERM,COURSE,CRN,INSTRUCTOR NAME,SECTION ENROLLMENT,XLIST GROUP,XLIST ENROLLMENT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
PLEASE NOTE: The order of the questions on this Summary Sheet differs slightly from the order of questions on ESTHER (ESTHER additionally displays Course Evaluations as separate from Instructor Evaluations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE RE CROSS-LISTED COURSES: If a course is cross-listed, evaluation results have been combined and the combined total will appear under each course listing, and under each instructor's name.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 11,ANTH 444 001,25409,"Ninetto, Amy",9,,,1.40,1.40,1.40,1.60,1.20,1.20,1.20,1.40,1.20,1.50,1.50,1.60,1.67,3.40,5,5,5,5,5,5,5,5,5,6,6,5,6,5,5,5,2
Spring 11,ANTH 446 001,22569,"Mitchell, Beverly M.",10,,,1.70,1.50,1.40,1.30,1.30,1.20,1.11,1.30,1.22,2.00,1.80,1.70,1.50,3.30,10,10,10,10,10,10,9,10,9,10,10,10,10,10,10,9,2
Spring 11,ANTH 491 003,21125,"Georges, Eugenia",1,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,4.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Spring 11,ANTH 491 011,21133,"Fleisher, Jeffrey B.",2,,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Spring 11,ANTH 495 001,24758,"Ninetto, Amy",3,,,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.50,2.50,2.00,2.50,3.00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
Spring 11,ANTH 507 001,25652,"Faubion, James D.",15,,,1.00,1.00,1.00,1.09,1.00,1.27,1.00,1.00,1.00,1.00,1.36,1.00,1.00,3.64,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4
Spring 11,ANTH 508 001,25391,"Faubion, James D.",3,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.33,1.00,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
Spring 11,ANTH 523 001,25705,"Crosswhite, Katherine M.",0,B8,5,1.25,1.00,1.25,1.25,1.00,1.75,1.50,1.25,1.00,1.25,2.00,2.25,1.75,2.00,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
Spring 11,ANTH 562 001,21135,"McIntosh, Susan K.",3,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.00,3.50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
Spring 11,ANTH 585 001,23194,"Boyer, Dominic C.",2,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.00,1.00,2.50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Spring 11,ANTH 600 002,21137,"Faubion, James D.",8,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.60,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3
Spring 11,ANTH 645 001,25413,"Boyer, Dominic C.",4,,,1.25,1.50,1.00,1.00,1.00,1.00,1.00,1.25,1.00,1.50,1.25,1.25,1.25,3.50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Spring 11,ANTH 646 001,22558,"Mitchell, Beverly M.",3,K0,3,1.00,1.33,1.67,1.00,1.00,1.00,1.00,1.33,1.33,1.00,1.00,1.33,1.00,4.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
