,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
,,,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,,
TERM,COURSE,CRN,INSTRUCTOR NAME,SECTION ENROLLMENT,XLIST GROUP,XLIST ENROLLMENT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
PLEASE NOTE: The order of the questions on this Summary Sheet differs slightly from the order of questions on ESTHER (ESTHER additionally displays Course Evaluations as separate from Instructor Evaluations).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE RE CROSS-LISTED COURSES: If a course is cross-listed, evaluation results have been combined and the combined total will appear under each course listing, and under each instructor's name.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 09,ANTH 200 001,10838,"Willis, Christina M.",28,A1,95,1.86,2.08,1.67,1.80,1.82,2.15,2.18,2.03,1.86,2.18,2.24,2.27,1.93,2.94,88,88,87,87,87,88,87,86,87,88,88,88,88,87,86,85,32
Fall 09,ANTH 203 001,10840,"McIntosh, Susan K.",37,,,1.74,2.11,1.89,1.69,1.66,1.89,1.74,1.74,1.40,1.97,2.06,2.08,1.92,3.28,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,31,16
Fall 09,ANTH 205 001,10842,"Fleisher, Jeffrey B.",55,,,1.44,1.62,1.44,1.48,1.56,1.86,1.76,1.62,1.45,1.74,1.94,1.98,1.82,2.43,50,50,50,50,50,50,50,50,49,50,50,50,49,49,50,40,29
Fall 09,ANTH 235 001,14649,"Kulinowski, Kristen M.",16,I7,23,1.74,2.09,1.73,1.95,1.86,2.41,2.23,2.14,1.77,2.22,2.70,2.61,2.48,2.78,23,22,22,22,22,22,22,22,22,23,23,23,23,23,23,19,6
Fall 09,ANTH 235 001,14649,"Mody, Cyrus",16,I7,23,2.09,2.48,1.73,2.39,2.18,2.27,2.23,2.26,2.18,2.22,2.70,2.61,2.48,2.78,23,23,22,23,22,22,22,23,22,23,23,23,23,23,23,19,6
Fall 09,ANTH 300 001,10895,"Englebretson, Robert E.",1,A4,27,1.12,1.44,1.13,1.24,1.24,1.40,1.40,1.28,1.08,1.16,1.24,1.32,1.32,3.32,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,22,6
Fall 09,ANTH 301 001,10843,"Crosswhite, Katherine M.",2,A3,21,1.86,2.57,1.75,2.35,1.90,2.81,2.90,2.62,1.71,2.71,2.57,2.67,2.75,2.00,21,21,20,20,21,21,21,21,21,21,21,21,20,20,21,21,1
